Kombinace rysů,délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 1, 1, 1, 0)",8,0.5733333333333334,0.710967741935484,0.0044444444444444444,1.0,0.5718040621266428,0.5800000000000001,0.02,1.0,0.9183333333333333,0.0025,1.0
"(0, 1, 1, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(1, 0, 0, 0, 0)",8,0.6571428571428571,0.7643553548984859,0.1916408748699015,1.0,0.651998743256129,0.6683357950593549,0.29428571428571426,1.0,0.9316666666666666,0.20249999999999999,1.0
"(1, 0, 0, 0, 1)",8,0.5428571428571428,0.6842105263157895,0.0,1.0,0.5614035087719298,0.5652173913043478,0.0,1.0,0.8666666666666668,0.0,1.0
"(1, 0, 0, 1, 0)",8,0.6238095238095237,0.7368142896680931,0.1779696048632219,1.0,0.638261298177105,0.6502902157930621,0.1742857142857143,1.0,0.8800000000000001,0.19249999999999998,1.0
"(1, 0, 0, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(1, 0, 1, 0, 0)",8,0.9019047619047619,0.9072153916663183,0.884214695856485,1.0,0.9304766958409344,0.986460567007532,0.8040530974398973,1.0,0.8400000000000001,0.9824999999999999,1.0
"(1, 0, 1, 0, 1)",8,0.5438095238095239,0.6846621504255689,0.004301075268817204,0.8333333333333334,0.5074321863425733,0.5658351152292707,0.015384615384615385,0.7142857142857143,0.8666666666666668,0.0025,1.0
"(1, 0, 1, 1, 0)",8,0.5666666666666667,0.7050725464785754,0.0044444444444444444,1.0,0.5698389969743399,0.5768380499290316,0.02,1.0,0.9066666666666666,0.0025,1.0
"(1, 0, 1, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(1, 1, 0, 0, 0)",8,0.5800000000000001,0.7163856834260843,0.008888888888888889,1.0,0.5750915241049912,0.5832386521860207,0.04,1.0,0.9283333333333335,0.005,1.0
"(1, 1, 0, 0, 1)",8,0.5361904761904761,0.678113715867927,0.0,1.0,0.5593712386226424,0.5618755205355347,0.0,1.0,0.8549999999999999,0.0,1.0
"(1, 1, 0, 1, 0)",8,0.6161904761904762,0.7296342958445177,0.1688888888888889,1.0,0.6328410615778022,0.6483641197821018,0.152,1.0,0.8683333333333334,0.19,1.0
"(1, 1, 0, 1, 1)",8,0.5419047619047619,0.6833192371376641,0.0,1.0,0.5611064123792213,0.5647216692442361,0.0,1.0,0.865,0.0,1.0
"(1, 1, 1, 0, 0)",8,0.7571428571428572,0.8156359808569075,0.5238760668349561,1.0,0.7798373492306212,0.8209338615348845,0.47166141657121036,1.0,0.8483333333333334,0.5900000000000001,1.0
"(1, 1, 1, 0, 1)",8,0.5380952380952381,0.6794382191791853,0.004301075268817204,0.7910265600588181,0.4915886181689402,0.5629744216344358,0.015384615384615385,0.671218487394958,0.8566666666666667,0.0025,1.0
"(1, 1, 1, 1, 0)",8,0.5580952380952381,0.6974786271093858,0.004210526315789474,1.0,0.5672297178083917,0.5727696934372511,0.013333333333333332,1.0,0.8916666666666666,0.0025,1.0
"(1, 1, 1, 1, 1)",8,0.5523809523809524,0.6928104575163399,0.0,1.0,0.5642701525054467,0.5698924731182796,0.0,1.0,0.8833333333333332,0.0,1.0
"(0, 0, 0, 0, 1)",9,0.5428571428571428,0.6842105263157895,0.0,1.0,0.5614035087719298,0.5652173913043478,0.0,1.0,0.8666666666666668,0.0,1.0
"(0, 0, 0, 1, 0)",9,0.8028571428571428,0.8343074352691,0.6754262972495793,1.0,0.8365779108395598,0.8918922586442701,0.6001487805572157,1.0,0.8066666666666666,0.7725,1.0
"(0, 0, 0, 1, 1)",9,0.5428571428571428,0.6842105263157895,0.0,1.0,0.5614035087719298,0.5652173913043478,0.0,1.0,0.8666666666666668,0.0,1.0
"(0, 0, 1, 0, 0)",9,0.9028571428571428,0.9081862865822796,0.8852322885601952,1.0,0.9311395250474916,0.9864577606743632,0.8057496138027233,1.0,0.8416666666666666,0.9825000000000002,1.0
"(0, 0, 1, 0, 1)",9,0.5438095238095239,0.6846621504255689,0.004166666666666667,0.8818181818181818,0.5235489996368058,0.5658351152292707,0.0125,0.8024531024531025,0.8666666666666668,0.0025,1.0
"(0, 0, 1, 1, 0)",9,0.619047619047619,0.7305619614030829,0.1677886863020103,1.0,0.632783549235031,0.652127659574468,0.160062893081761,1.0,0.8716666666666667,0.19249999999999998,1.0
"(0, 0, 1, 1, 1)",9,0.5428571428571428,0.6842105263157895,0.0,1.0,0.5614035087719298,0.5652173913043478,0.0,1.0,0.8666666666666668,0.0,1.0
"(0, 1, 0, 0, 0)",9,0.6428571428571428,0.5915559528524427,0.6530780137056548,1.0,0.7482113221860324,0.8536959628028358,0.5185337203653577,1.0,0.4533333333333334,0.8825000000000001,1.0
"(0, 1, 0, 0, 1)",9,0.5266666666666666,0.5931281306608581,0.12307692307692308,1.0,0.572068351245927,0.6459123442548856,0.08888888888888888,1.0,0.7050000000000001,0.2,1.0
"(0, 1, 0, 1, 0)",9,0.800952380952381,0.8331779691659985,0.6781255981255983,1.0,0.8371011890971989,0.8898021978021978,0.6043809523809524,1.0,0.8033333333333333,0.7725,1.0
